max features,accuracy_training,accuracy_validation
1,100.0,48.85
2,100.0,55.2
3,100.0,58.099999999999994
4,100.0,61.85000000000001
5,100.0,61.85000000000001
6,100.0,63.3
7,100.0,62.150000000000006
8,100.0,64.25
9,100.0,66.5
10,100.0,65.10000000000001
11,100.0,68.2
12,100.0,67.10000000000001
13,100.0,66.3
14,100.0,67.65
15,100.0,67.35
16,100.0,66.95
17,100.0,67.4
18,100.0,70.3
19,100.0,67.9
20,100.0,69.45
21,100.0,70.05
22,100.0,69.65
23,100.0,69.25
24,100.0,71.39999999999999
25,100.0,69.35
26,100.0,69.39999999999999
27,100.0,69.95
28,100.0,72.05
29,100.0,70.15
30,100.0,70.89999999999999
31,100.0,72.85000000000001
32,100.0,72.7
33,100.0,71.65
34,100.0,71.2
35,100.0,71.95
36,100.0,72.0
37,100.0,72.15
38,100.0,71.5
39,100.0,70.75
40,100.0,69.75
41,100.0,72.65
42,100.0,71.39999999999999
43,100.0,72.6
44,100.0,72.3
45,100.0,73.0
46,100.0,72.2
47,100.0,72.75
48,100.0,70.3
49,100.0,71.15
50,100.0,70.7
51,100.0,72.7
52,100.0,71.85000000000001
53,100.0,72.15
54,100.0,71.95
55,100.0,72.75
56,100.0,72.65
57,100.0,73.45
58,100.0,72.3
59,100.0,74.4
60,100.0,71.95
61,100.0,73.8
62,100.0,72.45
63,100.0,70.19999999999999
64,100.0,73.55000000000001
65,100.0,72.25
66,100.0,72.65
67,100.0,73.0
68,100.0,73.85000000000001
69,100.0,72.35000000000001
70,100.0,74.25
71,100.0,70.55
72,100.0,72.25
73,100.0,73.85000000000001
74,100.0,74.65
75,100.0,73.95
76,100.0,72.89999999999999
77,100.0,72.39999999999999
78,100.0,73.4
79,100.0,72.3
80,100.0,74.5
81,100.0,71.2
82,100.0,72.8
83,100.0,74.35000000000001
84,100.0,73.4
85,100.0,71.39999999999999
86,100.0,73.0
87,100.0,74.05000000000001
88,100.0,73.75
89,100.0,72.39999999999999
90,100.0,74.45
91,100.0,73.6
92,100.0,73.2
93,100.0,73.65
94,100.0,71.7
95,100.0,73.75
96,100.0,74.7
97,100.0,73.4
98,100.0,72.8
99,100.0,73.8
100,100.0,73.35000000000001
