max_depth,accuracy_training,accuracy_validation
1.0,41.796875,44.7
2.0,43.890625,45.85
3.0,50.18749999999999,48.5
4.0,54.96875,53.349999999999994
5.0,59.78125,59.599999999999994
6.0,64.8125,64.9
7.0,70.25,68.0
8.0,74.65625,71.15
9.0,78.703125,73.5
10.0,82.453125,74.65
11.0,85.375,76.05
12.0,87.484375,75.94999999999999
13.0,89.46875,75.85
14.0,91.265625,75.55
15.0,92.84375,76.4
16.0,94.125,76.1
17.0,95.078125,76.44999999999999
18.0,96.0625,75.75
19.0,96.84375,76.0
20.0,97.25,76.6
21.0,97.671875,75.5
22.0,97.953125,76.7
23.0,98.296875,76.55
24.0,98.703125,77.0
25.0,98.953125,77.10000000000001
26.0,99.296875,76.8
27.0,99.40625,76.44999999999999
28.0,99.5,77.3
29.0,99.5625,77.10000000000001
30.0,99.6875,76.6
31.0,99.734375,77.2
32.0,99.765625,76.44999999999999
33.0,99.765625,76.85
34.0,99.796875,76.6
35.0,99.84375,77.25
36.0,99.90625,75.94999999999999
37.0,99.9375,76.44999999999999
38.0,99.96875,77.4
39.0,99.984375,76.2
40.0,99.984375,76.35
41.0,100.0,77.10000000000001
42.0,100.0,76.9
43.0,100.0,75.94999999999999
44.0,100.0,76.2
45.0,100.0,76.9
46.0,100.0,76.6
47.0,100.0,77.0
48.0,100.0,76.35
49.0,100.0,76.85
50.0,100.0,76.44999999999999
51.0,100.0,76.9
52.0,100.0,76.6
53.0,100.0,75.7
54.0,100.0,76.0
55.0,100.0,76.64999999999999
56.0,100.0,77.0
57.0,100.0,76.5
58.0,100.0,76.4
59.0,100.0,76.75
60.0,100.0,76.35
