min_samples_leaf,accuracy_training,accuracy_validation
1,100.0,76.4
2,95.046875,76.75
3,92.46875,77.25
4,90.40625,76.44999999999999
5,88.75,77.0
6,87.390625,78.25
7,86.28125,77.45
8,85.515625,77.05
9,84.796875,77.25
10,84.21875,76.8
11,83.46875,76.85
12,82.78125,76.95
13,82.46875,76.8
14,81.765625,76.95
15,81.03125,76.55
16,80.328125,75.85
17,79.84375,75.4
18,79.40625,75.05
19,78.953125,74.85000000000001
20,78.28125,74.65
21,77.796875,74.35000000000001
22,77.65625,74.6
23,76.9375,74.15
24,76.65625,73.5
25,76.671875,73.25
26,76.5,73.5
27,76.5,73.7
28,76.25,73.15
29,76.21875,73.3
30,76.046875,72.95
31,75.921875,73.55000000000001
32,75.78125,73.35000000000001
33,75.0,72.45
34,75.0625,72.3
35,74.84375,72.1
36,74.53125,71.45
37,74.328125,71.39999999999999
38,74.3125,71.2
39,73.921875,71.65
40,73.71875,71.5
41,73.65625,72.35000000000001
42,73.625,72.3
43,73.484375,72.3
44,73.140625,72.05
45,73.046875,71.75
46,72.71875,71.35000000000001
47,72.515625,71.1
48,72.296875,70.65
49,71.890625,70.35
50,71.5,70.85000000000001
51,71.5,70.85000000000001
52,71.390625,71.0
53,71.625,71.55
54,71.625,71.5
55,71.421875,71.55
56,71.328125,71.35000000000001
57,71.328125,71.35000000000001
58,71.1875,71.2
59,71.1875,71.2
60,71.109375,71.25
61,71.1875,71.39999999999999
62,71.1875,71.39999999999999
63,71.203125,71.39999999999999
64,71.1875,71.39999999999999
65,71.046875,71.25
66,71.015625,71.1
67,70.84375,70.75
68,70.796875,70.7
69,70.796875,70.95
70,70.640625,70.65
71,70.421875,70.19999999999999
72,70.421875,70.19999999999999
73,70.421875,69.95
74,69.796875,69.69999999999999
75,69.5625,69.8
76,69.09375,69.1
77,69.09375,69.1
78,69.125,68.7
79,69.125,68.7
80,69.09375,68.7
81,68.9375,68.35
82,68.9375,68.35
83,68.703125,68.05
84,68.703125,68.05
85,68.6875,68.30000000000001
86,68.59375,68.10000000000001
87,68.390625,68.30000000000001
88,68.375,68.65
89,68.375,68.65
90,68.265625,68.95
91,68.25,68.89999999999999
92,68.25,68.89999999999999
93,68.25,68.89999999999999
94,68.25,68.89999999999999
95,68.25,68.89999999999999
96,68.140625,68.8
97,68.34375,68.55
98,68.296875,68.5
99,67.65625,68.05
100,67.65625,68.05
