min_samples_split,accuracy_training,accuracy_validation
2,100.0,76.14999999999999
6,95.515625,76.75
10,92.921875,77.64999999999999
14,90.984375,77.7
18,89.578125,77.55
22,88.5625,77.60000000000001
26,87.140625,76.75
30,86.171875,76.8
34,85.234375,76.6
38,84.890625,76.35
42,84.203125,76.3
46,83.359375,76.14999999999999
50,82.96875,76.0
54,82.359375,75.5
58,82.171875,75.8
62,81.78125,75.2
66,81.28125,75.25
70,81.0625,75.3
74,80.84375,75.0
78,80.375,74.7
82,80.03125,74.4
86,79.609375,74.5
90,78.765625,74.05000000000001
94,78.5625,74.25
98,77.828125,74.05000000000001
102,77.609375,73.55000000000001
106,77.40625,73.5
110,77.0,73.8
114,76.90625,73.55000000000001
118,76.875,73.7
122,76.578125,73.55000000000001
126,76.421875,73.45
130,76.34375,73.4
134,76.140625,73.3
138,75.796875,72.85000000000001
142,75.78125,72.95
146,75.765625,73.0
150,75.796875,73.05
154,74.921875,72.45
158,74.84375,72.25
162,74.34375,71.89999999999999
166,74.359375,72.0
170,74.359375,71.89999999999999
174,74.34375,71.95
178,73.921875,71.35000000000001
182,73.90625,71.45
186,73.890625,71.39999999999999
190,73.890625,71.35000000000001
194,73.890625,71.39999999999999
198,73.515625,71.3
