{'kernel': 'rbf', 'C': 0.001, 'gamma': 0.001},23.77551020408163,21.595330739299612
{'kernel': 'rbf', 'C': 0.001, 'gamma': 0.01},24.897959183673468,20.038910505836576
{'kernel': 'rbf', 'C': 0.001, 'gamma': 0.1},27.55102040816326,3.3073929961089497
{'kernel': 'rbf', 'C': 0.001, 'gamma': 1.0},27.55102040816326,17.704280155642024
{'kernel': 'rbf', 'C': 0.001, 'gamma': 10.0},27.55102040816326,6.420233463035019
{'kernel': 'rbf', 'C': 0.001, 'gamma': 100.0},27.55102040816326,2.529182879377432
{'kernel': 'rbf', 'C': 0.01, 'gamma': 0.001},23.77551020408163,21.595330739299612
{'kernel': 'rbf', 'C': 0.01, 'gamma': 0.01},24.897959183673468,20.038910505836576
{'kernel': 'rbf', 'C': 0.01, 'gamma': 0.1},27.55102040816326,3.3073929961089497
{'kernel': 'rbf', 'C': 0.01, 'gamma': 1.0},27.55102040816326,17.704280155642024
{'kernel': 'rbf', 'C': 0.01, 'gamma': 10.0},27.55102040816326,6.420233463035019
{'kernel': 'rbf', 'C': 0.01, 'gamma': 100.0},27.55102040816326,2.529182879377432
{'kernel': 'rbf', 'C': 0.1, 'gamma': 0.001},23.77551020408163,21.595330739299612
{'kernel': 'rbf', 'C': 0.1, 'gamma': 0.01},24.897959183673468,20.038910505836576
{'kernel': 'rbf', 'C': 0.1, 'gamma': 0.1},27.55102040816326,3.3073929961089497
{'kernel': 'rbf', 'C': 0.1, 'gamma': 1.0},27.55102040816326,17.704280155642024
{'kernel': 'rbf', 'C': 0.1, 'gamma': 10.0},27.55102040816326,6.420233463035019
{'kernel': 'rbf', 'C': 0.1, 'gamma': 100.0},27.55102040816326,2.529182879377432
{'kernel': 'rbf', 'C': 1, 'gamma': 0.001},65.10204081632654,50.778210116731515
{'kernel': 'rbf', 'C': 1, 'gamma': 0.01},98.26530612244898,63.81322957198443
{'kernel': 'rbf', 'C': 1, 'gamma': 0.1},99.79591836734694,9.922178988326849
{'kernel': 'rbf', 'C': 1, 'gamma': 1.0},99.94897959183675,2.7237354085603114
{'kernel': 'rbf', 'C': 1, 'gamma': 10.0},99.94897959183675,6.420233463035019
{'kernel': 'rbf', 'C': 1, 'gamma': 100.0},99.94897959183675,2.529182879377432
{'kernel': 'rbf', 'C': 10, 'gamma': 0.001},97.75510204081633,66.9260700389105
{'kernel': 'rbf', 'C': 10, 'gamma': 0.01},99.74489795918367,65.75875486381322
{'kernel': 'rbf', 'C': 10, 'gamma': 0.1},99.94897959183675,10.700389105058365
{'kernel': 'rbf', 'C': 10, 'gamma': 1.0},99.94897959183675,2.9182879377431905
{'kernel': 'rbf', 'C': 10, 'gamma': 10.0},99.94897959183675,6.420233463035019
{'kernel': 'rbf', 'C': 10, 'gamma': 100.0},99.94897959183675,2.529182879377432
{'kernel': 'rbf', 'C': 100, 'gamma': 0.001},99.74489795918367,66.73151750972762
{'kernel': 'rbf', 'C': 100, 'gamma': 0.01},99.94897959183675,65.75875486381322
{'kernel': 'rbf', 'C': 100, 'gamma': 0.1},99.94897959183675,10.700389105058365
{'kernel': 'rbf', 'C': 100, 'gamma': 1.0},99.94897959183675,2.9182879377431905
{'kernel': 'rbf', 'C': 100, 'gamma': 10.0},99.94897959183675,6.420233463035019
{'kernel': 'rbf', 'C': 100, 'gamma': 100.0},99.94897959183675,2.529182879377432
{'kernel': 'rbf', 'C': 1000, 'gamma': 0.001},99.94897959183675,66.9260700389105
{'kernel': 'rbf', 'C': 1000, 'gamma': 0.01},99.94897959183675,65.75875486381322
{'kernel': 'rbf', 'C': 1000, 'gamma': 0.1},99.94897959183675,10.700389105058365
{'kernel': 'rbf', 'C': 1000, 'gamma': 1.0},99.94897959183675,2.9182879377431905
{'kernel': 'rbf', 'C': 1000, 'gamma': 10.0},99.94897959183675,6.420233463035019
{'kernel': 'rbf', 'C': 1000, 'gamma': 100.0},99.94897959183675,2.529182879377432
{'kernel': 'sigmoid', 'C': 0.001, 'gamma': 0.001, 'coef0': 0.001},22.80612244897959,19.844357976653697
{'kernel': 'sigmoid', 'C': 0.001, 'gamma': 0.01, 'coef0': 0.001},1.3775510204081634,0.9727626459143969
{'kernel': 'sigmoid', 'C': 0.001, 'gamma': 0.1, 'coef0': 0.001},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.001, 'gamma': 1.0, 'coef0': 0.001},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.001, 'gamma': 10.0, 'coef0': 0.001},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.001, 'gamma': 100.0, 'coef0': 0.001},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.001, 'gamma': 0.001, 'coef0': 0.01},22.75510204081633,19.844357976653697
{'kernel': 'sigmoid', 'C': 0.001, 'gamma': 0.01, 'coef0': 0.01},1.3265306122448979,0.5836575875486382
{'kernel': 'sigmoid', 'C': 0.001, 'gamma': 0.1, 'coef0': 0.01},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.001, 'gamma': 1.0, 'coef0': 0.01},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.001, 'gamma': 10.0, 'coef0': 0.01},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.001, 'gamma': 100.0, 'coef0': 0.01},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.001, 'gamma': 0.001, 'coef0': 0.1},22.75510204081633,19.844357976653697
{'kernel': 'sigmoid', 'C': 0.001, 'gamma': 0.01, 'coef0': 0.1},1.3265306122448979,0.7782101167315175
{'kernel': 'sigmoid', 'C': 0.001, 'gamma': 0.1, 'coef0': 0.1},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.001, 'gamma': 1.0, 'coef0': 0.1},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.001, 'gamma': 10.0, 'coef0': 0.1},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.001, 'gamma': 100.0, 'coef0': 0.1},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.001, 'gamma': 0.001, 'coef0': 1.0},22.29591836734694,19.45525291828794
{'kernel': 'sigmoid', 'C': 0.001, 'gamma': 0.01, 'coef0': 1.0},1.530612244897959,1.3618677042801557
{'kernel': 'sigmoid', 'C': 0.001, 'gamma': 0.1, 'coef0': 1.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.001, 'gamma': 1.0, 'coef0': 1.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.001, 'gamma': 10.0, 'coef0': 1.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.001, 'gamma': 100.0, 'coef0': 1.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.001, 'gamma': 0.001, 'coef0': 10.0},5.0,4.669260700389105
{'kernel': 'sigmoid', 'C': 0.001, 'gamma': 0.01, 'coef0': 10.0},4.081632653061225,3.6964980544747084
{'kernel': 'sigmoid', 'C': 0.001, 'gamma': 0.1, 'coef0': 10.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.001, 'gamma': 1.0, 'coef0': 10.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.001, 'gamma': 10.0, 'coef0': 10.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.001, 'gamma': 100.0, 'coef0': 10.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.001, 'gamma': 0.001, 'coef0': 100.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.001, 'gamma': 0.01, 'coef0': 100.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.001, 'gamma': 0.1, 'coef0': 100.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.001, 'gamma': 1.0, 'coef0': 100.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.001, 'gamma': 10.0, 'coef0': 100.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.001, 'gamma': 100.0, 'coef0': 100.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.01, 'gamma': 0.001, 'coef0': 0.001},22.80612244897959,19.844357976653697
{'kernel': 'sigmoid', 'C': 0.01, 'gamma': 0.01, 'coef0': 0.001},1.3775510204081634,0.9727626459143969
{'kernel': 'sigmoid', 'C': 0.01, 'gamma': 0.1, 'coef0': 0.001},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.01, 'gamma': 1.0, 'coef0': 0.001},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.01, 'gamma': 10.0, 'coef0': 0.001},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.01, 'gamma': 100.0, 'coef0': 0.001},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.01, 'gamma': 0.001, 'coef0': 0.01},22.75510204081633,19.844357976653697
{'kernel': 'sigmoid', 'C': 0.01, 'gamma': 0.01, 'coef0': 0.01},1.3265306122448979,0.5836575875486382
{'kernel': 'sigmoid', 'C': 0.01, 'gamma': 0.1, 'coef0': 0.01},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.01, 'gamma': 1.0, 'coef0': 0.01},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.01, 'gamma': 10.0, 'coef0': 0.01},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.01, 'gamma': 100.0, 'coef0': 0.01},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.01, 'gamma': 0.001, 'coef0': 0.1},22.75510204081633,19.844357976653697
{'kernel': 'sigmoid', 'C': 0.01, 'gamma': 0.01, 'coef0': 0.1},1.3265306122448979,0.7782101167315175
{'kernel': 'sigmoid', 'C': 0.01, 'gamma': 0.1, 'coef0': 0.1},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.01, 'gamma': 1.0, 'coef0': 0.1},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.01, 'gamma': 10.0, 'coef0': 0.1},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.01, 'gamma': 100.0, 'coef0': 0.1},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.01, 'gamma': 0.001, 'coef0': 1.0},22.29591836734694,19.45525291828794
{'kernel': 'sigmoid', 'C': 0.01, 'gamma': 0.01, 'coef0': 1.0},1.530612244897959,1.3618677042801557
{'kernel': 'sigmoid', 'C': 0.01, 'gamma': 0.1, 'coef0': 1.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.01, 'gamma': 1.0, 'coef0': 1.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.01, 'gamma': 10.0, 'coef0': 1.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.01, 'gamma': 100.0, 'coef0': 1.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.01, 'gamma': 0.001, 'coef0': 10.0},5.0,4.669260700389105
{'kernel': 'sigmoid', 'C': 0.01, 'gamma': 0.01, 'coef0': 10.0},2.857142857142857,2.7237354085603114
{'kernel': 'sigmoid', 'C': 0.01, 'gamma': 0.1, 'coef0': 10.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.01, 'gamma': 1.0, 'coef0': 10.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.01, 'gamma': 10.0, 'coef0': 10.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.01, 'gamma': 100.0, 'coef0': 10.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.01, 'gamma': 0.001, 'coef0': 100.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.01, 'gamma': 0.01, 'coef0': 100.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.01, 'gamma': 0.1, 'coef0': 100.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.01, 'gamma': 1.0, 'coef0': 100.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.01, 'gamma': 10.0, 'coef0': 100.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.01, 'gamma': 100.0, 'coef0': 100.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.1, 'gamma': 0.001, 'coef0': 0.001},22.80612244897959,19.844357976653697
{'kernel': 'sigmoid', 'C': 0.1, 'gamma': 0.01, 'coef0': 0.001},1.3775510204081634,0.9727626459143969
{'kernel': 'sigmoid', 'C': 0.1, 'gamma': 0.1, 'coef0': 0.001},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.1, 'gamma': 1.0, 'coef0': 0.001},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.1, 'gamma': 10.0, 'coef0': 0.001},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.1, 'gamma': 100.0, 'coef0': 0.001},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.1, 'gamma': 0.001, 'coef0': 0.01},22.75510204081633,19.844357976653697
{'kernel': 'sigmoid', 'C': 0.1, 'gamma': 0.01, 'coef0': 0.01},1.3265306122448979,0.5836575875486382
{'kernel': 'sigmoid', 'C': 0.1, 'gamma': 0.1, 'coef0': 0.01},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.1, 'gamma': 1.0, 'coef0': 0.01},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.1, 'gamma': 10.0, 'coef0': 0.01},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.1, 'gamma': 100.0, 'coef0': 0.01},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.1, 'gamma': 0.001, 'coef0': 0.1},22.75510204081633,19.844357976653697
{'kernel': 'sigmoid', 'C': 0.1, 'gamma': 0.01, 'coef0': 0.1},1.3265306122448979,0.7782101167315175
{'kernel': 'sigmoid', 'C': 0.1, 'gamma': 0.1, 'coef0': 0.1},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.1, 'gamma': 1.0, 'coef0': 0.1},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.1, 'gamma': 10.0, 'coef0': 0.1},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.1, 'gamma': 100.0, 'coef0': 0.1},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.1, 'gamma': 0.001, 'coef0': 1.0},22.29591836734694,19.45525291828794
{'kernel': 'sigmoid', 'C': 0.1, 'gamma': 0.01, 'coef0': 1.0},1.530612244897959,1.3618677042801557
{'kernel': 'sigmoid', 'C': 0.1, 'gamma': 0.1, 'coef0': 1.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.1, 'gamma': 1.0, 'coef0': 1.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.1, 'gamma': 10.0, 'coef0': 1.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.1, 'gamma': 100.0, 'coef0': 1.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.1, 'gamma': 0.001, 'coef0': 10.0},5.0,4.669260700389105
{'kernel': 'sigmoid', 'C': 0.1, 'gamma': 0.01, 'coef0': 10.0},2.3979591836734695,2.529182879377432
{'kernel': 'sigmoid', 'C': 0.1, 'gamma': 0.1, 'coef0': 10.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.1, 'gamma': 1.0, 'coef0': 10.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.1, 'gamma': 10.0, 'coef0': 10.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.1, 'gamma': 100.0, 'coef0': 10.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.1, 'gamma': 0.001, 'coef0': 100.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.1, 'gamma': 0.01, 'coef0': 100.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.1, 'gamma': 0.1, 'coef0': 100.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.1, 'gamma': 1.0, 'coef0': 100.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.1, 'gamma': 10.0, 'coef0': 100.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 0.1, 'gamma': 100.0, 'coef0': 100.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 1, 'gamma': 0.001, 'coef0': 0.001},23.6734693877551,20.428015564202333
{'kernel': 'sigmoid', 'C': 1, 'gamma': 0.01, 'coef0': 0.001},1.3775510204081634,0.9727626459143969
{'kernel': 'sigmoid', 'C': 1, 'gamma': 0.1, 'coef0': 0.001},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 1, 'gamma': 1.0, 'coef0': 0.001},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 1, 'gamma': 10.0, 'coef0': 0.001},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 1, 'gamma': 100.0, 'coef0': 0.001},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 1, 'gamma': 0.001, 'coef0': 0.01},23.520408163265305,20.233463035019454
{'kernel': 'sigmoid', 'C': 1, 'gamma': 0.01, 'coef0': 0.01},1.3265306122448979,0.5836575875486382
{'kernel': 'sigmoid', 'C': 1, 'gamma': 0.1, 'coef0': 0.01},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 1, 'gamma': 1.0, 'coef0': 0.01},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 1, 'gamma': 10.0, 'coef0': 0.01},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 1, 'gamma': 100.0, 'coef0': 0.01},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 1, 'gamma': 0.001, 'coef0': 0.1},22.908163265306122,19.844357976653697
{'kernel': 'sigmoid', 'C': 1, 'gamma': 0.01, 'coef0': 0.1},1.3265306122448979,0.7782101167315175
{'kernel': 'sigmoid', 'C': 1, 'gamma': 0.1, 'coef0': 0.1},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 1, 'gamma': 1.0, 'coef0': 0.1},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 1, 'gamma': 10.0, 'coef0': 0.1},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 1, 'gamma': 100.0, 'coef0': 0.1},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 1, 'gamma': 0.001, 'coef0': 1.0},22.29591836734694,19.45525291828794
{'kernel': 'sigmoid', 'C': 1, 'gamma': 0.01, 'coef0': 1.0},1.530612244897959,1.3618677042801557
{'kernel': 'sigmoid', 'C': 1, 'gamma': 0.1, 'coef0': 1.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 1, 'gamma': 1.0, 'coef0': 1.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 1, 'gamma': 10.0, 'coef0': 1.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 1, 'gamma': 100.0, 'coef0': 1.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 1, 'gamma': 0.001, 'coef0': 10.0},5.0,4.669260700389105
{'kernel': 'sigmoid', 'C': 1, 'gamma': 0.01, 'coef0': 10.0},3.724489795918368,3.6964980544747084
{'kernel': 'sigmoid', 'C': 1, 'gamma': 0.1, 'coef0': 10.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 1, 'gamma': 1.0, 'coef0': 10.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 1, 'gamma': 10.0, 'coef0': 10.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 1, 'gamma': 100.0, 'coef0': 10.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 1, 'gamma': 0.001, 'coef0': 100.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 1, 'gamma': 0.01, 'coef0': 100.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 1, 'gamma': 0.1, 'coef0': 100.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 1, 'gamma': 1.0, 'coef0': 100.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 1, 'gamma': 10.0, 'coef0': 100.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 1, 'gamma': 100.0, 'coef0': 100.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 10, 'gamma': 0.001, 'coef0': 0.001},85.0,63.035019455252915
{'kernel': 'sigmoid', 'C': 10, 'gamma': 0.01, 'coef0': 0.001},1.3775510204081634,0.9727626459143969
{'kernel': 'sigmoid', 'C': 10, 'gamma': 0.1, 'coef0': 0.001},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 10, 'gamma': 1.0, 'coef0': 0.001},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 10, 'gamma': 10.0, 'coef0': 0.001},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 10, 'gamma': 100.0, 'coef0': 0.001},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 10, 'gamma': 0.001, 'coef0': 0.01},84.84693877551021,63.035019455252915
{'kernel': 'sigmoid', 'C': 10, 'gamma': 0.01, 'coef0': 0.01},1.3265306122448979,0.5836575875486382
{'kernel': 'sigmoid', 'C': 10, 'gamma': 0.1, 'coef0': 0.01},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 10, 'gamma': 1.0, 'coef0': 0.01},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 10, 'gamma': 10.0, 'coef0': 0.01},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 10, 'gamma': 100.0, 'coef0': 0.01},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 10, 'gamma': 0.001, 'coef0': 0.1},82.60204081632652,61.284046692607006
{'kernel': 'sigmoid', 'C': 10, 'gamma': 0.01, 'coef0': 0.1},1.3265306122448979,0.7782101167315175
{'kernel': 'sigmoid', 'C': 10, 'gamma': 0.1, 'coef0': 0.1},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 10, 'gamma': 1.0, 'coef0': 0.1},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 10, 'gamma': 10.0, 'coef0': 0.1},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 10, 'gamma': 100.0, 'coef0': 0.1},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 10, 'gamma': 0.001, 'coef0': 1.0},42.397959183673464,33.46303501945525
{'kernel': 'sigmoid', 'C': 10, 'gamma': 0.01, 'coef0': 1.0},1.530612244897959,1.3618677042801557
{'kernel': 'sigmoid', 'C': 10, 'gamma': 0.1, 'coef0': 1.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 10, 'gamma': 1.0, 'coef0': 1.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 10, 'gamma': 10.0, 'coef0': 1.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 10, 'gamma': 100.0, 'coef0': 1.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 10, 'gamma': 0.001, 'coef0': 10.0},5.0,4.669260700389105
{'kernel': 'sigmoid', 'C': 10, 'gamma': 0.01, 'coef0': 10.0},3.316326530612245,3.501945525291829
{'kernel': 'sigmoid', 'C': 10, 'gamma': 0.1, 'coef0': 10.0},2.295918367346939,2.3346303501945527
{'kernel': 'sigmoid', 'C': 10, 'gamma': 1.0, 'coef0': 10.0},2.295918367346939,2.3346303501945527
