coef0,gamma,C,degree,Training Data, Validation Data,,,
0.001,0.001,0.1,1,23.36734694,21.01167315,,,
0.001,0.01,0.1,1,43.87755102,34.82490272,,,
0.001,0.1,0.1,1,93.31632653,66.14785992,,,1
0.001,1,0.1,1,99.59183673,65.95330739,,,
0.001,10,0.1,1,99.84693878,65.95330739,,,
0.001,100,0.1,1,99.94897959,65.95330739,,,
0.001,0.001,0.1,2,23.7755102,21.78988327,,,
0.001,0.01,0.1,2,97.29591837,67.70428016,,,
0.001,0.1,0.1,2,99.94897959,68.09338521,,,
0.001,1,0.1,2,99.94897959,68.09338521,,,
0.001,10,0.1,2,99.94897959,68.09338521,,,
0.001,100,0.1,2,99.94897959,68.09338521,,,
0.001,0.001,0.1,3,23.82653061,21.78988327,,,
0.001,0.01,0.1,3,99.74489796,68.48249027,,,
0.001,0.1,0.1,3,99.94897959,68.87159533,,,
0.001,1,0.1,3,99.94897959,68.87159533,,,
0.001,10,0.1,3,99.94897959,68.87159533,,,
0.001,100,0.1,3,99.94897959,68.87159533,,,
0.001,0.001,0.1,4,23.92857143,21.40077821,,,
0.001,0.01,0.1,4,99.94897959,68.87159533,,,
0.001,0.1,0.1,4,99.94897959,68.87159533,,,
0.001,1,0.1,4,99.94897959,68.87159533,,,
0.001,10,0.1,4,99.94897959,68.87159533,,,
0.001,100,0.1,4,98.41836735,68.87159533,,,
0.01,0.001,0.1,1,23.36734694,21.01167315,,,
0.01,0.01,0.1,1,43.82653061,34.82490272,,,
0.01,0.1,0.1,1,93.31632653,66.14785992,,,
0.01,1,0.1,1,99.59183673,65.95330739,,,
0.01,10,0.1,1,99.84693878,65.95330739,,,
0.01,100,0.1,1,99.94897959,65.95330739,,,
0.01,0.001,0.1,2,23.7755102,21.78988327,,,
0.01,0.01,0.1,2,97.29591837,67.89883268,,,
0.01,0.1,0.1,2,99.94897959,68.09338521,,,
0.01,1,0.1,2,99.94897959,68.09338521,,,
0.01,10,0.1,2,99.94897959,68.09338521,,,
0.01,100,0.1,2,99.94897959,68.09338521,,,
0.01,0.001,0.1,3,23.82653061,21.78988327,,,
0.01,0.01,0.1,3,99.74489796,68.48249027,,,
0.01,0.1,0.1,3,99.94897959,68.87159533,,,
0.01,1,0.1,3,99.94897959,68.87159533,,,
0.01,10,0.1,3,99.94897959,68.87159533,,,
0.01,100,0.1,3,99.94897959,68.87159533,,,
0.01,0.001,0.1,4,23.92857143,21.40077821,,,
0.01,0.01,0.1,4,99.94897959,68.87159533,,,
0.01,0.1,0.1,4,99.94897959,68.87159533,,,
0.01,1,0.1,4,99.94897959,68.87159533,,,
0.1,0.001,0.1,1,23.36734694,21.01167315,,,
0.1,0.01,0.1,1,43.87755102,34.82490272,,,
0.1,0.1,0.1,1,93.31632653,66.14785992,,,
0.1,1,0.1,1,99.59183673,65.95330739,,,
0.1,10,0.1,1,99.84693878,65.95330739,,,
0.1,100,0.1,1,99.94897959,65.95330739,,,
0.1,0.001,0.1,2,23.7244898,21.78988327,,,
0.1,0.01,0.1,2,97.39795918,67.70428016,,,
0.1,0.1,0.1,2,99.94897959,68.09338521,,,
0.1,1,0.1,2,99.94897959,68.09338521,,,
0.1,10,0.1,2,99.94897959,68.09338521,,,
0.1,100,0.1,2,99.94897959,68.09338521,,,
0.1,0.001,0.1,3,23.82653061,21.9844358,,,
0.1,0.01,0.1,3,99.74489796,68.48249027,,,
0.1,0.1,0.1,3,99.94897959,68.87159533,,,
0.1,1,0.1,3,99.94897959,68.87159533,,,
0.1,10,0.1,3,99.94897959,68.87159533,,,
0.1,100,0.1,3,99.94897959,68.87159533,,,
0.1,0.001,0.1,4,23.7755102,21.40077821,,,
0.1,0.01,0.1,4,99.94897959,68.87159533,,,
0.1,0.1,0.1,4,99.94897959,68.87159533,,,
0.1,1,0.1,4,99.94897959,68.87159533,,,
0.1,10,0.1,4,99.94897959,68.6770428,,,
0.1,100,0.1,4,98.41836735,68.87159533,,,
1,0.001,0.1,1,23.36734694,21.01167315,,,
1,0.01,0.1,1,43.82653061,34.82490272,,,
1,0.1,0.1,1,93.31632653,66.14785992,,,
1,1,0.1,1,99.59183673,65.95330739,,,
1,10,0.1,1,99.84693878,65.95330739,,,
1,100,0.1,1,99.94897959,65.95330739,,,
1,0.001,0.1,2,23.52040816,21.40077821,,,
1,0.01,0.1,2,97.80612245,67.12062257,,,
1,0.1,0.1,2,99.94897959,68.09338521,,,
1,1,0.1,2,99.94897959,68.09338521,,,
1,10,0.1,2,99.94897959,68.09338521,,,
1,100,0.1,2,99.94897959,68.09338521,,,
1,0.001,0.1,3,42.80612245,35.40856031,,,
1,0.01,0.1,3,99.79591837,68.28793774,,,
1,0.1,0.1,3,99.94897959,68.87159533,,,
1,1,0.1,3,99.94897959,68.87159533,,,
1,10,0.1,3,99.94897959,68.87159533,,,
1,100,0.1,3,99.94897959,68.87159533,,,
1,0.001,0.1,4,75.91836735,59.92217899,,,
1,0.01,0.1,4,99.94897959,68.6770428,,,
1,0.1,0.1,4,99.94897959,68.87159533,,,
1,1,0.1,4,99.94897959,68.87159533,,,
1,10,0.1,4,99.94897959,68.48249027,,,
1,100,0.1,4,98.41836735,68.87159533,,,
10,0.001,0.1,1,23.36734694,21.01167315,,,
10,0.01,0.1,1,43.82653061,34.82490272,,,
10,0.1,0.1,1,93.31632653,66.14785992,,,
10,1,0.1,1,99.59183673,65.95330739,,,
10,10,0.1,1,99.84693878,65.95330739,,,
10,100,0.1,1,99.94897959,65.95330739,,,
10,0.001,0.1,2,71.2755102,56.42023346,,,
10,0.01,0.1,2,99.13265306,66.53696498,,,
10,0.1,0.1,2,99.94897959,67.89883268,,,
10,1,0.1,2,99.94897959,68.09338521,,,
10,10,0.1,2,99.94897959,68.09338521,,,
10,100,0.1,2,99.94897959,68.09338521,,,
10,0.001,0.1,3,99.03061224,66.53696498,,,
10,0.01,0.1,3,99.89795918,67.70428016,,,
10,0.1,0.1,3,99.94897959,68.48249027,,,
10,1,0.1,3,99.94897959,68.87159533,,,
10,10,0.1,3,99.94897959,68.87159533,,,
10,100,0.1,3,99.94897959,68.87159533,,,
10,0.001,0.1,4,99.84693878,65.56420233,,,
10,0.01,0.1,4,99.94897959,68.28793774,,,
10,0.1,0.1,4,99.94897959,68.6770428,,,
10,1,0.1,4,99.94897959,68.87159533,,,
10,10,0.1,4,99.94897959,68.6770428,,,
100,0.001,0.1,1,23.36734694,21.01167315,,,
100,0.01,0.1,1,43.82653061,34.82490272,,,
100,0.1,0.1,1,93.31632653,66.14785992,,,
100,1,0.1,1,99.59183673,65.95330739,,,
