{'C': 0.001, 'coef0': 0.001, 'gamma': 0.001, 'kernel': 'sigmoid'},22.80612244897959,19.844357976653697
{'C': 0.001, 'coef0': 0.001, 'gamma': 0.01, 'kernel': 'sigmoid'},1.3775510204081634,0.9727626459143969
{'C': 0.001, 'coef0': 0.001, 'gamma': 0.1, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.001, 'coef0': 0.001, 'gamma': 1.0, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.001, 'coef0': 0.001, 'gamma': 10.0, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.001, 'coef0': 0.001, 'gamma': 100.0, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.001, 'coef0': 0.01, 'gamma': 0.001, 'kernel': 'sigmoid'},22.75510204081633,19.844357976653697
{'C': 0.001, 'coef0': 0.01, 'gamma': 0.01, 'kernel': 'sigmoid'},1.3265306122448979,0.5836575875486382
{'C': 0.001, 'coef0': 0.01, 'gamma': 0.1, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.001, 'coef0': 0.01, 'gamma': 1.0, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.001, 'coef0': 0.01, 'gamma': 10.0, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.001, 'coef0': 0.01, 'gamma': 100.0, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.001, 'coef0': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'},22.75510204081633,19.844357976653697
{'C': 0.001, 'coef0': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'},1.3265306122448979,0.7782101167315175
{'C': 0.001, 'coef0': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.001, 'coef0': 0.1, 'gamma': 1.0, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.001, 'coef0': 0.1, 'gamma': 10.0, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.001, 'coef0': 0.1, 'gamma': 100.0, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.001, 'coef0': 1.0, 'gamma': 0.001, 'kernel': 'sigmoid'},22.29591836734694,19.45525291828794
{'C': 0.001, 'coef0': 1.0, 'gamma': 0.01, 'kernel': 'sigmoid'},1.530612244897959,1.3618677042801557
{'C': 0.001, 'coef0': 1.0, 'gamma': 0.1, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.001, 'coef0': 1.0, 'gamma': 1.0, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.001, 'coef0': 1.0, 'gamma': 10.0, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.001, 'coef0': 1.0, 'gamma': 100.0, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.001, 'coef0': 10.0, 'gamma': 0.001, 'kernel': 'sigmoid'},5.0,4.669260700389105
{'C': 0.001, 'coef0': 10.0, 'gamma': 0.01, 'kernel': 'sigmoid'},4.081632653061225,3.6964980544747084
{'C': 0.001, 'coef0': 10.0, 'gamma': 0.1, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.001, 'coef0': 10.0, 'gamma': 1.0, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.001, 'coef0': 10.0, 'gamma': 10.0, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.001, 'coef0': 10.0, 'gamma': 100.0, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.001, 'coef0': 100.0, 'gamma': 0.001, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.001, 'coef0': 100.0, 'gamma': 0.01, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.001, 'coef0': 100.0, 'gamma': 0.1, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.001, 'coef0': 100.0, 'gamma': 1.0, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.001, 'coef0': 100.0, 'gamma': 10.0, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.001, 'coef0': 100.0, 'gamma': 100.0, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.01, 'coef0': 0.001, 'gamma': 0.001, 'kernel': 'sigmoid'},22.80612244897959,19.844357976653697
{'C': 0.01, 'coef0': 0.001, 'gamma': 0.01, 'kernel': 'sigmoid'},1.3775510204081634,0.9727626459143969
{'C': 0.01, 'coef0': 0.001, 'gamma': 0.1, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.01, 'coef0': 0.001, 'gamma': 1.0, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.01, 'coef0': 0.001, 'gamma': 10.0, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.01, 'coef0': 0.001, 'gamma': 100.0, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.01, 'coef0': 0.01, 'gamma': 0.001, 'kernel': 'sigmoid'},22.75510204081633,19.844357976653697
{'C': 0.01, 'coef0': 0.01, 'gamma': 0.01, 'kernel': 'sigmoid'},1.3265306122448979,0.5836575875486382
{'C': 0.01, 'coef0': 0.01, 'gamma': 0.1, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.01, 'coef0': 0.01, 'gamma': 1.0, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.01, 'coef0': 0.01, 'gamma': 10.0, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
{'C': 0.01, 'coef0': 0.01, 'gamma': 100.0, 'kernel': 'sigmoid'},2.295918367346939,2.3346303501945527
