C,coef0,degree,gamma,Training Data, Validation Data
0.001,0.001,1,0.001,23.36734693877551,21.011673151750973
0.001,0.001,1,0.01,23.36734693877551,21.011673151750973
0.001,0.001,1,0.1,23.36734693877551,21.011673151750973
0.001,0.001,1,1.0,43.87755102040816,34.824902723735406
0.001,0.001,1,10.0,93.31632653061224,66.14785992217898
0.001,0.001,1,100.0,99.59183673469387,65.95330739299611
0.001,0.001,2,0.001,23.77551020408163,21.78988326848249
0.001,0.001,2,0.01,23.77551020408163,21.78988326848249
0.001,0.001,2,0.1,97.29591836734693,67.70428015564202
0.001,0.001,2,1.0,99.94897959183675,68.09338521400778
0.001,0.001,2,10.0,99.94897959183675,68.09338521400778
0.001,0.001,2,100.0,99.94897959183675,68.09338521400778
0.001,0.001,3,0.001,23.8265306122449,21.78988326848249
0.001,0.001,3,0.01,71.12244897959184,56.42023346303502
0.001,0.001,3,0.1,99.94897959183675,68.8715953307393
0.001,0.001,3,1.0,99.94897959183675,68.8715953307393
0.001,0.001,3,10.0,99.94897959183675,68.8715953307393
0.001,0.001,3,100.0,99.94897959183675,68.8715953307393
0.001,0.001,4,0.001,23.92857142857143,21.40077821011673
0.001,0.001,4,0.01,99.03061224489797,68.67704280155642
0.001,0.001,4,0.1,99.94897959183675,68.8715953307393
0.001,0.001,4,1.0,99.94897959183675,68.8715953307393
0.001,0.001,4,10.0,99.94897959183675,68.8715953307393
0.001,0.001,4,100.0,99.03061224489797,68.8715953307393
0.001,0.01,1,0.001,23.36734693877551,21.011673151750973
0.001,0.01,1,0.01,23.36734693877551,21.011673151750973
0.001,0.01,1,0.1,23.36734693877551,21.011673151750973
0.001,0.01,1,1.0,43.826530612244895,34.824902723735406
0.001,0.01,1,10.0,93.31632653061224,66.14785992217898
0.001,0.01,1,100.0,99.59183673469387,65.95330739299611
0.001,0.01,2,0.001,23.77551020408163,21.78988326848249
0.001,0.01,2,0.01,23.77551020408163,21.78988326848249
0.001,0.01,2,0.1,97.29591836734693,67.70428015564202
0.001,0.01,2,1.0,99.94897959183675,68.09338521400778
0.001,0.01,2,10.0,99.94897959183675,68.09338521400778
0.001,0.01,2,100.0,99.94897959183675,68.09338521400778
0.001,0.01,3,0.001,23.8265306122449,21.78988326848249
0.001,0.01,3,0.01,71.12244897959184,56.42023346303502
0.001,0.01,3,0.1,99.94897959183675,68.8715953307393
0.001,0.01,3,1.0,99.94897959183675,68.8715953307393
0.001,0.01,3,10.0,99.94897959183675,68.8715953307393
0.001,0.01,3,100.0,99.94897959183675,68.8715953307393
0.001,0.01,4,0.001,23.92857142857143,21.40077821011673
0.001,0.01,4,0.01,99.03061224489797,68.67704280155642
0.001,0.01,4,0.1,99.94897959183675,68.8715953307393
0.001,0.01,4,1.0,99.94897959183675,68.8715953307393
0.001,0.01,4,10.0,99.94897959183675,68.8715953307393
0.001,0.01,4,100.0,99.03061224489797,68.8715953307393
0.001,0.1,1,0.001,23.36734693877551,21.011673151750973
0.001,0.1,1,0.01,23.36734693877551,21.011673151750973
0.001,0.1,1,0.1,23.36734693877551,21.011673151750973
0.001,0.1,1,1.0,43.87755102040816,34.824902723735406
0.001,0.1,1,10.0,93.31632653061224,66.14785992217898
0.001,0.1,1,100.0,99.59183673469387,65.95330739299611
0.001,0.1,2,0.001,23.72448979591837,21.78988326848249
0.001,0.1,2,0.01,23.77551020408163,21.78988326848249
0.001,0.1,2,0.1,97.29591836734693,67.89883268482491
0.001,0.1,2,1.0,99.94897959183675,68.09338521400778
0.001,0.1,2,10.0,99.94897959183675,68.09338521400778
0.001,0.1,2,100.0,99.94897959183675,68.09338521400778
0.001,0.1,3,0.001,23.8265306122449,21.98443579766537
0.001,0.1,3,0.01,71.47959183673468,57.58754863813229
0.001,0.1,3,0.1,99.94897959183675,68.8715953307393
0.001,0.1,3,1.0,99.94897959183675,68.8715953307393
0.001,0.1,3,10.0,99.94897959183675,68.8715953307393
0.001,0.1,3,100.0,99.94897959183675,68.8715953307393
0.001,0.1,4,0.001,23.77551020408163,21.40077821011673
0.001,0.1,4,0.01,99.03061224489797,68.67704280155642
0.001,0.1,4,0.1,99.94897959183675,68.8715953307393
0.001,0.1,4,1.0,99.94897959183675,68.8715953307393
0.001,0.1,4,10.0,99.94897959183675,68.8715953307393
0.001,0.1,4,100.0,99.03061224489797,68.8715953307393
0.001,1.0,1,0.001,23.36734693877551,21.011673151750973
0.001,1.0,1,0.01,23.36734693877551,21.011673151750973
0.001,1.0,1,0.1,23.36734693877551,21.011673151750973
0.001,1.0,1,1.0,43.87755102040816,34.824902723735406
0.001,1.0,1,10.0,93.31632653061224,66.14785992217898
0.001,1.0,1,100.0,99.59183673469387,65.95330739299611
0.001,1.0,2,0.001,23.520408163265305,21.40077821011673
0.001,1.0,2,0.01,23.72448979591837,21.78988326848249
0.001,1.0,2,0.1,97.39795918367346,67.70428015564202
0.001,1.0,2,1.0,99.94897959183675,68.09338521400778
0.001,1.0,2,10.0,99.94897959183675,68.09338521400778
0.001,1.0,2,100.0,99.94897959183675,68.09338521400778
0.001,1.0,3,0.001,23.72448979591837,21.78988326848249
0.001,1.0,3,0.01,77.55102040816327,62.06225680933852
