degree,gamma,C,coef0,Training Data, Validation Data
1,0.001,0.01,0.001,23.36734693877551,21.011673151750973
1,0.01,0.01,0.001,23.36734693877551,21.011673151750973
1,0.1,0.01,0.001,43.87755102040816,34.824902723735406
1,1.0,0.01,0.001,93.31632653061224,66.14785992217898
1,10.0,0.01,0.001,99.59183673469387,65.95330739299611
1,100.0,0.01,0.001,99.84693877551021,65.95330739299611
2,0.001,0.01,0.001,23.77551020408163,21.78988326848249
2,0.01,0.01,0.001,63.57142857142857,50.38910505836576
2,0.1,0.01,0.001,99.74489795918367,67.89883268482491
2,1.0,0.01,0.001,99.94897959183675,68.09338521400778
2,10.0,0.01,0.001,99.94897959183675,68.09338521400778
2,100.0,0.01,0.001,99.94897959183675,68.09338521400778
3,0.001,0.01,0.001,23.8265306122449,21.78988326848249
3,0.01,0.01,0.001,98.62244897959184,68.28793774319067
3,0.1,0.01,0.001,99.94897959183675,68.8715953307393
3,1.0,0.01,0.001,99.94897959183675,68.8715953307393
3,10.0,0.01,0.001,99.94897959183675,68.8715953307393
3,100.0,0.01,0.001,99.94897959183675,68.8715953307393
4,0.001,0.01,0.001,23.92857142857143,21.40077821011673
4,0.01,0.01,0.001,99.79591836734694,68.48249027237354
4,0.1,0.01,0.001,99.94897959183675,68.8715953307393
4,1.0,0.01,0.001,99.94897959183675,68.8715953307393
4,10.0,0.01,0.001,99.94897959183675,68.8715953307393
4,100.0,0.01,0.001,98.62244897959184,68.8715953307393
1,0.001,0.01,0.01,23.36734693877551,21.011673151750973
1,0.01,0.01,0.01,23.36734693877551,21.011673151750973
1,0.1,0.01,0.01,43.826530612244895,34.824902723735406
1,1.0,0.01,0.01,93.31632653061224,66.14785992217898
1,10.0,0.01,0.01,99.59183673469387,65.95330739299611
1,100.0,0.01,0.01,99.84693877551021,65.95330739299611
2,0.001,0.01,0.01,23.77551020408163,21.78988326848249
2,0.01,0.01,0.01,63.62244897959184,50.38910505836576
2,0.1,0.01,0.01,99.74489795918367,67.89883268482491
2,1.0,0.01,0.01,99.94897959183675,68.09338521400778
2,10.0,0.01,0.01,99.94897959183675,68.09338521400778
2,100.0,0.01,0.01,99.94897959183675,68.09338521400778
3,0.001,0.01,0.01,23.8265306122449,21.78988326848249
3,0.01,0.01,0.01,98.62244897959184,68.28793774319067
3,0.1,0.01,0.01,99.94897959183675,68.8715953307393
3,1.0,0.01,0.01,99.94897959183675,68.8715953307393
3,10.0,0.01,0.01,99.94897959183675,68.8715953307393
3,100.0,0.01,0.01,99.94897959183675,68.8715953307393
4,0.001,0.01,0.01,23.92857142857143,21.40077821011673
4,0.01,0.01,0.01,99.79591836734694,68.48249027237354
4,0.1,0.01,0.01,99.94897959183675,68.8715953307393
4,1.0,0.01,0.01,99.94897959183675,68.8715953307393
4,10.0,0.01,0.01,99.94897959183675,68.8715953307393
1,0.001,0.01,0.1,23.36734693877551,21.011673151750973
1,0.01,0.01,0.1,23.36734693877551,21.011673151750973
1,0.1,0.01,0.1,43.87755102040816,34.824902723735406
1,1.0,0.01,0.1,93.31632653061224,66.14785992217898
1,10.0,0.01,0.1,99.59183673469387,65.95330739299611
1,100.0,0.01,0.1,99.84693877551021,65.95330739299611
2,0.001,0.01,0.1,23.72448979591837,21.78988326848249
2,0.01,0.01,0.1,63.92857142857142,50.583657587548636
2,0.1,0.01,0.1,99.74489795918367,67.89883268482491
2,1.0,0.01,0.1,99.94897959183675,68.09338521400778
2,10.0,0.01,0.1,99.94897959183675,68.09338521400778
2,100.0,0.01,0.1,99.94897959183675,68.09338521400778
3,0.001,0.01,0.1,23.8265306122449,21.98443579766537
3,0.01,0.01,0.1,98.62244897959184,68.48249027237354
3,0.1,0.01,0.1,99.94897959183675,68.8715953307393
3,1.0,0.01,0.1,99.94897959183675,68.8715953307393
3,10.0,0.01,0.1,99.94897959183675,68.8715953307393
3,100.0,0.01,0.1,99.94897959183675,68.8715953307393
4,0.001,0.01,0.1,23.77551020408163,21.40077821011673
4,0.01,0.01,0.1,99.79591836734694,68.28793774319067
4,0.1,0.01,0.1,99.94897959183675,68.8715953307393
4,1.0,0.01,0.1,99.94897959183675,68.8715953307393
4,10.0,0.01,0.1,99.94897959183675,68.8715953307393
4,100.0,0.01,0.1,98.62244897959184,68.8715953307393
1,0.001,0.01,1.0,23.36734693877551,21.011673151750973
1,0.01,0.01,1.0,23.36734693877551,21.011673151750973
1,0.1,0.01,1.0,43.87755102040816,34.824902723735406
1,1.0,0.01,1.0,93.31632653061224,66.14785992217898
1,10.0,0.01,1.0,99.59183673469387,65.95330739299611
1,100.0,0.01,1.0,99.84693877551021,65.95330739299611
2,0.001,0.01,1.0,23.520408163265305,21.40077821011673
2,0.01,0.01,1.0,67.75510204081633,54.08560311284047
