{'C': 0.001, 'gamma': 0.001, 'kernel': 'rbf'},45.9375,49.35
{'C': 0.001, 'gamma': 0.01, 'kernel': 'rbf'},45.1875,47.75
{'C': 0.001, 'gamma': 0.1, 'kernel': 'rbf'},46.875,25.05
{'C': 0.001, 'gamma': 1.0, 'kernel': 'rbf'},46.875,49.5
{'C': 0.001, 'gamma': 10.0, 'kernel': 'rbf'},46.875,25.900000000000002
{'C': 0.001, 'gamma': 100.0, 'kernel': 'rbf'},46.875,25.0
{'C': 0.01, 'gamma': 0.001, 'kernel': 'rbf'},45.9375,49.35
{'C': 0.01, 'gamma': 0.01, 'kernel': 'rbf'},45.296875,47.949999999999996
{'C': 0.01, 'gamma': 0.1, 'kernel': 'rbf'},46.875,25.05
{'C': 0.01, 'gamma': 1.0, 'kernel': 'rbf'},46.875,49.5
{'C': 0.01, 'gamma': 10.0, 'kernel': 'rbf'},46.875,25.95
{'C': 0.01, 'gamma': 100.0, 'kernel': 'rbf'},46.875,25.0
{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'},69.203125,70.85000000000001
{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'},78.953125,77.5
{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'},46.875,25.05
{'C': 0.1, 'gamma': 1.0, 'kernel': 'rbf'},46.875,49.5
{'C': 0.1, 'gamma': 10.0, 'kernel': 'rbf'},46.875,25.95
{'C': 0.1, 'gamma': 100.0, 'kernel': 'rbf'},46.875,25.0
{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'},90.578125,88.64999999999999
{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'},99.328125,93.75
{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'},100.0,33.4
{'C': 1, 'gamma': 1.0, 'kernel': 'rbf'},100.0,25.0
{'C': 1, 'gamma': 10.0, 'kernel': 'rbf'},100.0,25.95
{'C': 1, 'gamma': 100.0, 'kernel': 'rbf'},100.0,25.0
{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'},97.8125,90.60000000000001
{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'},100.0,94.15
{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'},100.0,33.5
{'C': 10, 'gamma': 1.0, 'kernel': 'rbf'},100.0,25.0
{'C': 10, 'gamma': 10.0, 'kernel': 'rbf'},100.0,25.95
{'C': 10, 'gamma': 100.0, 'kernel': 'rbf'},100.0,25.0
{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'},100.0,90.10000000000001
{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'},100.0,94.15
{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'},100.0,33.5
{'C': 100, 'gamma': 1.0, 'kernel': 'rbf'},100.0,25.0
{'C': 100, 'gamma': 10.0, 'kernel': 'rbf'},100.0,25.95
{'C': 100, 'gamma': 100.0, 'kernel': 'rbf'},100.0,25.0
{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'},100.0,90.10000000000001
{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'},100.0,94.15
{'C': 1000, 'gamma': 0.1, 'kernel': 'rbf'},100.0,33.5
{'C': 1000, 'gamma': 1.0, 'kernel': 'rbf'},100.0,25.0
{'C': 1000, 'gamma': 10.0, 'kernel': 'rbf'},100.0,25.95
{'C': 1000, 'gamma': 100.0, 'kernel': 'rbf'},100.0,25.0
